-0.00000,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00000,-0.00000,-0.00000
0.00000,-0.00079,-0.00078,-0.00077,-0.00077,-0.00076,-0.00074,-0.00073,-0.00071,-0.00069,-0.00068,-0.00065,-0.00063,-0.00061,-0.00058,-0.00056,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00045,0.00045,0.00045,0.00046,0.00046,0.00046,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00047,0.00048,0.00000,0.00000,0.00000
0.00000,-0.00083,-0.00083,-0.00082,-0.00081,-0.00080,-0.00079,-0.00077,-0.00076,-0.00074,-0.00072,-0.00069,-0.00067,-0.00064,-0.00062,-0.00059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00047,0.00047,0.00048,0.00048,0.00048,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00050,0.00050,0.00050,0.00050,0.00000,0.00000,0.00000
0.00000,-0.00088,-0.00088,-0.00087,-0.00086,-0.00085,-0.00084,-0.00082,-0.00080,-0.00078,-0.00076,-0.00073,-0.00071,-0.00068,-0.00065,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00050,0.00050,0.00050,0.00051,0.00051,0.00051,0.00051,0.00051,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00000,0.00000,0.00000
0.00000,-0.00094,-0.00093,-0.00092,-0.00091,-0.00090,-0.00089,-0.00087,-0.00085,-0.00083,-0.00080,-0.00077,-0.00075,-0.00072,-0.00069,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00051,0.00052,0.00052,0.00053,0.00053,0.00053,0.00053,0.00053,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00000,0.00000,0.00000
0.00000,-0.00099,-0.00099,-0.00098,-0.00097,-0.00095,-0.00094,-0.00092,-0.00090,-0.00087,-0.00085,-0.00082,-0.00079,-0.00076,-0.00072,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00054,0.00054,0.00055,0.00055,0.00055,0.00055,0.00056,0.00056,0.00056,0.00056,0.00056,0.00056,0.00056,0.00056,0.00056,0.00000,0.00000,0.00000
0.00000,-0.00105,-0.00105,-0.00104,-0.00103,-0.00101,-0.00099,-0.00097,-0.00095,-0.00092,-0.00089,-0.00086,-0.00083,-0.00080,-0.00076,-0.00072,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00056,0.00057,0.00057,0.00057,0.00057,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00059,0.00059,0.00059,0.00059,0.00000,0.00000,0.00000
0.00000,-0.00111,-0.00111,-0.00110,-0.00108,-0.00107,-0.00105,-0.00103,-0.00100,-0.00097,-0.00094,-0.00091,-0.00088,-0.00084,-0.00080,-0.00076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00059,0.00059,0.00059,0.00060,0.00060,0.00060,0.00060,0.00060,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00000,0.00000,0.00000
0.00000,-0.00118,-0.00117,-0.00116,-0.00115,-0.00113,-0.00111,-0.00109,-0.00106,-0.00103,-0.00100,-0.00096,-0.00092,-0.00088,-0.00084,-0.00080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00061,0.00061,0.00062,0.00062,0.00062,0.00062,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00000,0.00000,0.00000
0.00000,-0.00125,-0.00124,-0.00123,-0.00121,-0.00120,-0.00117,-0.00115,-0.00112,-0.00108,-0.00105,-0.00101,-0.00097,-0.00093,-0.00088,-0.00084,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00064,0.00064,0.00064,0.00064,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00066,0.00066,0.00066,0.00066,0.00000,0.00000,0.00000
0.00000,-0.00132,-0.00131,-0.00130,-0.00128,-0.00126,-0.00124,-0.00121,-0.00118,-0.00114,-0.00111,-0.00107,-0.00102,-0.00098,-0.00093,-0.00088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00066,0.00066,0.00067,0.00067,0.00067,0.00067,0.00067,0.00068,0.00068,0.00068,0.00068,0.00068,0.00068,0.00068,0.00068,0.00000,0.00000,0.00000
0.00000,-0.00140,-0.00139,-0.00138,-0.00136,-0.00134,-0.00131,-0.00128,-0.00125,-0.00121,-0.00117,-0.00112,-0.00108,-0.00103,-0.00098,-0.00092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00069,0.00069,0.00069,0.00069,0.00070,0.00070,0.00070,0.00070,0.00070,0.00070,0.00070,0.00070,0.00070,0.00070,0.00070,0.00000,0.00000,0.00000
0.00000,-0.00148,-0.00147,-0.00146,-0.00144,-0.00141,-0.00138,-0.00135,-0.00131,-0.00127,-0.00123,-0.00118,-0.00113,-0.00108,-0.00102,-0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00071,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00000,0.00000,0.00000
0.00000,-0.00157,-0.00156,-0.00154,-0.00152,-0.00149,-0.00146,-0.00143,-0.00139,-0.00134,-0.00130,-0.00125,-0.00119,-0.00113,-0.00107,-0.00101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00074,0.00074,0.00074,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00000,0.00000,0.00000
0.00000,-0.00166,-0.00165,-0.00163,-0.00161,-0.00158,-0.00155,-0.00151,-0.00146,-0.00142,-0.00137,-0.00131,-0.00125,-0.00119,-0.00113,-0.00106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00000,0.00000,0.00000
0.00000,-0.00176,-0.00174,-0.00172,-0.00170,-0.00167,-0.00163,-0.00159,-0.00155,-0.00149,-0.00144,-0.00138,-0.00132,-0.00125,-0.00118,-0.00111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00080,0.00000,0.00000,0.00000
0.00000,-0.00186,-0.00185,-0.00183,-0.00180,-0.00177,-0.00173,-0.00168,-0.00163,-0.00158,-0.00152,-0.00145,-0.00138,-0.00131,-0.00124,-0.00116,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00082,0.00000,0.00000,0.00000
0.00000,-0.00197,-0.00195,-0.00193,-0.00190,-0.00187,-0.00183,-0.00178,-0.00172,-0.00166,-0.00160,-0.00153,-0.00146,-0.00138,-0.00130,-0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00084,0.00000,0.00000,0.00000
0.00000,-0.00209,-0.00207,-0.00205,-0.00202,-0.00198,-0.00193,-0.00188,-0.00182,-0.00175,-0.00168,-0.00161,-0.00153,-0.00145,-0.00136,-0.00127,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087,0.00000,0.00000,0.00000
0.00000,-0.00221,-0.00220,-0.00217,-0.00214,-0.00209,-0.00204,-0.00199,-0.00192,-0.00185,-0.00178,-0.00169,-0.00161,-0.00152,-0.00143,-0.00133,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00091,0.00091,0.00091,0.00090,0.00090,0.00090,0.00090,0.00090,0.00090,0.00090,0.00089,0.00089,0.00089,0.00089,0.00089,0.00000,0.00000,0.00000
0.00000,-0.00235,-0.00233,-0.00230,-0.00226,-0.00222,-0.00216,-0.00210,-0.00203,-0.00195,-0.00187,-0.00178,-0.00169,-0.00159,-0.00149,-0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00094,0.00094,0.00093,0.00093,0.00093,0.00093,0.00093,0.00092,0.00092,0.00092,0.00092,0.00092,0.00092,0.00092,0.00091,0.00000,0.00000,0.00000
0.00000,-0.00249,-0.00247,-0.00244,-0.00240,-0.00235,-0.00229,-0.00222,-0.00215,-0.00206,-0.00197,-0.00188,-0.00178,-0.00167,-0.00156,-0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00097,0.00096,0.00096,0.00096,0.00096,0.00095,0.00095,0.00095,0.00095,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00000,0.00000,0.00000
0.00000,-0.00265,-0.00262,-0.00259,-0.00254,-0.00249,-0.00243,-0.00235,-0.00227,-0.00218,-0.00208,-0.00198,-0.00187,-0.00175,-0.00164,-0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.00099,0.00099,0.00099,0.00098,0.00098,0.00098,0.00097,0.00097,0.00097,0.00097,0.00096,0.00096,0.00096,0.00096,0.00000,0.00000,0.00000
0.00000,-0.00281,-0.00279,-0.00275,-0.00270,-0.00264,-0.00257,-0.00249,-0.00240,-0.00230,-0.00219,-0.00208,-0.00196,-0.00184,-0.00171,-0.00158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00103,0.00102,0.00102,0.00101,0.00101,0.00100,0.00100,0.00100,0.00099,0.00099,0.00099,0.00099,0.00098,0.00098,0.00098,0.00000,0.00000,0.00000
0.00000,-0.00299,-0.00296,-0.00292,-0.00287,-0.00280,-0.00273,-0.00264,-0.00254,-0.00243,-0.00231,-0.00219,-0.00206,-0.00193,-0.00179,-0.00165,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00106,0.00105,0.00104,0.00104,0.00103,0.00103,0.00102,0.00102,0.00102,0.00101,0.00101,0.00101,0.00101,0.00100,0.00100,0.00000,0.00000,0.00000
